epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59255,1.03803,2.72398,1.28971,0.60909,0.8662,0.88787,0.62222,1.39471,1.30809,1.24666,0,0,0
2,1.79684,1.25203,2.96463,1.61875,0.5867,0.88502,0.88778,0.61516,1.39748,1.3252,1.24614,1.17822e-06,1.17822e-06,1.17822e-06
3,2.00907,1.30344,2.77223,1.56637,0.56883,0.88033,0.88812,0.60738,1.42712,1.34481,1.2619,2.33288e-06,2.33288e-06,2.33288e-06
4,2.24435,1.04475,2.67056,1.28612,0.54782,0.83333,0.83295,0.58211,1.44823,1.38498,1.26834,3.46397e-06,3.46397e-06,3.46397e-06
5,2.51507,1.12448,2.98132,1.51736,0.5912,0.83333,0.87397,0.59065,1.47399,1.4277,1.28492,4.5715e-06,4.5715e-06,4.5715e-06
6,2.78275,1.03214,2.22233,1.30647,0.82803,0.56667,0.87228,0.5812,1.49213,1.49149,1.3005,5.65548e-06,5.65548e-06,5.65548e-06
7,3.04418,1.52337,3.71969,1.83267,0.83482,0.58014,0.88541,0.57456,1.50425,1.57816,1.32216,6.71588e-06,6.71588e-06,6.71588e-06
8,3.30657,1.30361,3.2153,1.74435,0.80617,0.56667,0.8552,0.55284,1.52228,1.64157,1.33794,7.75273e-06,7.75273e-06,7.75273e-06
9,3.57498,1.48728,2.75921,1.59424,0.80426,0.57847,0.74332,0.56773,1.53555,1.69666,1.35308,8.76602e-06,8.76602e-06,8.76602e-06
10,3.84982,1.26228,2.4936,1.56172,0.7924,0.58333,0.74325,0.54294,1.53713,1.73583,1.34776,9.75574e-06,9.75574e-06,9.75574e-06
11,4.11176,1.1982,1.89363,1.50397,0.79547,0.58333,0.74322,0.55005,1.53931,1.76006,1.35018,1.07219e-05,1.07219e-05,1.07219e-05
12,4.37464,1.33435,3.03348,1.59747,0.77255,0.58333,0.74336,0.55007,1.53279,1.80985,1.34897,1.16645e-05,1.16645e-05,1.16645e-05
13,4.64544,1.15864,2.63624,1.47457,0.73143,0.58333,0.74303,0.54155,1.51913,1.82904,1.34645,1.25835e-05,1.25835e-05,1.25835e-05
14,4.90979,1.07997,2.36029,1.39568,0.73648,0.58333,0.74297,0.54743,1.51753,1.83848,1.34886,1.3479e-05,1.3479e-05,1.3479e-05
15,5.17385,1.20053,2.7016,1.54975,0.76682,0.58333,0.74425,0.54761,1.52103,1.85698,1.35227,1.43509e-05,1.43509e-05,1.43509e-05
