epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.22702,0.98344,1.18272,2.781,0.94399,0.00629,0.98649,0.22303,0.17179,0.00629,0.98649,0.2334,0.18544,0.79122,1.34737,3.3172,0.83274,0.0004,0.0004,0.0004
2,17.7324,0.78086,0.91584,1.31112,0.90243,0.00535,0.53153,0.08552,0.06319,0.00787,0.78362,0.06871,0.03936,0.69539,2.09848,3.40037,0.86229,0.000811882,0.000811882,0.000811882
3,26.8028,0.81824,0.87793,1.17914,0.91338,1,0.31575,0.84962,0.64296,1,0.31575,0.85015,0.64364,0.88681,1.12231,2.81947,0.92862,0.00121545,0.00121545,0.00121545
4,34.3444,0.85222,0.97047,1.15476,0.91538,0.68567,0.58559,0.70618,0.54318,0.68567,0.58559,0.7046,0.5482,0.87153,1.21935,2.28186,0.96277,0.0016107,0.0016107,0.0016107
5,40.0938,0.84478,0.90235,1.04538,0.92193,0.91175,0.80631,0.9088,0.69166,0.91228,0.80631,0.90587,0.67982,0.81426,1.67766,1.66437,0.93541,0.0019208,0.0019208,0.0019208
6,47.4857,0.85906,0.92146,0.97154,0.91431,0.87984,0.85754,0.92341,0.74129,0.88501,0.84234,0.91752,0.72965,0.79892,1.27596,1.12289,0.96433,0.001901,0.001901,0.001901
7,54.3808,0.80868,0.90449,0.89219,0.92431,0.95476,0.94144,0.97903,0.78722,0.96312,0.94595,0.98112,0.79033,0.72923,0.99211,0.90052,0.91439,0.0018812,0.0018812,0.0018812
8,59.961,0.77695,0.85379,0.78176,0.89525,0.91862,0.92342,0.95408,0.78233,0.91862,0.92342,0.95789,0.76693,0.70071,0.91879,0.94416,0.90676,0.0018614,0.0018614,0.0018614
9,64.8933,0.77224,0.79087,0.78541,0.91206,0.95429,0.88739,0.9519,0.76179,0.95429,0.88739,0.9458,0.74682,0.76692,1.05498,0.89668,0.94446,0.0018416,0.0018416,0.0018416
10,69.8266,0.75387,0.70793,0.73029,0.90331,0.95664,0.95045,0.98459,0.78492,0.95927,0.95491,0.98159,0.76686,0.72117,0.97478,0.74615,0.9278,0.0018218,0.0018218,0.0018218
11,74.745,0.78858,0.91351,0.72223,0.94219,0.94181,0.95495,0.98433,0.77992,0.93736,0.95045,0.98096,0.73102,0.7382,1.0786,0.65574,0.92533,0.001802,0.001802,0.001802
12,79.7235,0.70511,0.77908,0.64053,0.90597,0.98015,0.94595,0.98286,0.82088,0.98015,0.94595,0.98218,0.7653,0.65399,1.02162,0.61168,0.89698,0.0017822,0.0017822,0.0017822
13,84.7402,0.70738,0.73664,0.62369,0.88718,0.94154,0.93694,0.97303,0.78688,0.93213,0.92793,0.96164,0.70003,0.64778,1.13949,0.6594,0.88286,0.0017624,0.0017624,0.0017624
14,89.6569,0.68467,0.79068,0.60419,0.88509,0.94815,0.92342,0.96184,0.7931,0.93404,0.90991,0.9567,0.7357,0.6727,1.09852,0.68216,0.88889,0.0017426,0.0017426,0.0017426
15,94.5529,0.67471,0.77585,0.57608,0.88655,0.94992,0.95495,0.98348,0.81615,0.93648,0.94144,0.97257,0.77132,0.6457,0.92981,0.65897,0.88307,0.0017228,0.0017228,0.0017228
16,99.4235,0.69132,0.77078,0.58415,0.89333,0.955,0.95045,0.98769,0.80802,0.93855,0.96316,0.98187,0.793,0.65539,1.02184,0.56815,0.89029,0.001703,0.001703,0.001703
17,104.296,0.70412,0.77795,0.5623,0.89159,0.96795,0.95237,0.98129,0.83975,0.95055,0.95248,0.97978,0.78474,0.60597,0.95708,0.52302,0.86604,0.0016832,0.0016832,0.0016832
18,109.129,0.64096,0.69365,0.52304,0.87239,0.98273,0.92793,0.98685,0.83484,0.97796,0.92342,0.98581,0.77897,0.58414,1.00335,0.52403,0.86511,0.0016634,0.0016634,0.0016634
19,113.914,0.62854,0.71821,0.51728,0.87792,0.9769,0.95264,0.98893,0.84349,0.97228,0.94814,0.98676,0.79501,0.56802,0.93518,0.48609,0.85998,0.0016436,0.0016436,0.0016436
20,118.754,0.66858,0.7266,0.52376,0.86018,0.9771,0.96115,0.99083,0.84212,0.9771,0.96115,0.99032,0.7887,0.58477,0.91662,0.47841,0.86126,0.0016238,0.0016238,0.0016238
21,123.563,0.6454,0.68501,0.50148,0.87208,0.96415,0.96847,0.98959,0.84716,0.95967,0.96396,0.98678,0.79987,0.56422,0.91267,0.45629,0.87189,0.001604,0.001604,0.001604
22,128.35,0.63165,0.68722,0.50598,0.88295,0.97871,0.93694,0.99017,0.8301,0.93439,0.93243,0.97857,0.76376,0.58803,0.81717,0.49102,0.85814,0.0015842,0.0015842,0.0015842
23,133.191,0.66692,0.69258,0.51433,0.87026,0.96852,0.97,0.99206,0.83452,0.95954,0.96138,0.98423,0.75889,0.60058,0.84671,0.53723,0.86449,0.0015644,0.0015644,0.0015644
24,137.987,0.66248,0.69092,0.51929,0.87144,0.96317,0.97297,0.9925,0.85149,0.94303,0.96931,0.98269,0.7924,0.59726,0.86968,0.44184,0.86354,0.0015446,0.0015446,0.0015446
25,142.774,0.64319,0.73908,0.49351,0.88288,0.97747,0.97717,0.99314,0.85287,0.96011,0.97565,0.98919,0.78963,0.56162,0.85287,0.42183,0.85784,0.0015248,0.0015248,0.0015248
26,147.568,0.6323,0.70156,0.49585,0.86905,0.97753,0.97976,0.99121,0.83687,0.97753,0.97976,0.99121,0.77344,0.57786,0.93204,0.49259,0.86122,0.001505,0.001505,0.001505
27,152.356,0.6295,0.68097,0.47515,0.87223,0.96626,0.98198,0.99117,0.86882,0.96626,0.98198,0.99117,0.79621,0.54645,0.89793,0.4119,0.85251,0.0014852,0.0014852,0.0014852
28,157.205,0.6305,0.71382,0.47722,0.86725,0.98992,0.97748,0.99352,0.85595,0.98992,0.97748,0.99352,0.79089,0.54828,0.85625,0.39669,0.84735,0.0014654,0.0014654,0.0014654
29,162.027,0.64786,0.73304,0.46595,0.87509,0.98634,0.97575,0.99126,0.85708,0.98634,0.97575,0.99126,0.8015,0.55324,0.86247,0.40015,0.84527,0.0014456,0.0014456,0.0014456
30,166.919,0.63559,0.68635,0.44847,0.86175,0.98752,0.97748,0.99334,0.87102,0.98752,0.97748,0.98647,0.80853,0.51479,0.79967,0.38517,0.84236,0.0014258,0.0014258,0.0014258
31,171.723,0.62297,0.66161,0.45838,0.8864,0.98987,0.97297,0.99291,0.85854,0.98628,0.97178,0.99019,0.7959,0.55454,0.82114,0.42901,0.85286,0.001406,0.001406,0.001406
32,176.547,0.62909,0.68089,0.45548,0.87549,0.97902,0.97297,0.99284,0.86976,0.97902,0.97297,0.99284,0.80736,0.54087,0.80597,0.39702,0.84543,0.0013862,0.0013862,0.0013862
33,181.432,0.64006,0.71267,0.45493,0.87661,0.99536,0.96578,0.99353,0.87008,0.99536,0.96578,0.99353,0.8008,0.53919,0.85085,0.37611,0.84572,0.0013664,0.0013664,0.0013664
34,186.291,0.62791,0.68088,0.43827,0.87449,0.95651,0.99081,0.9925,0.8618,0.98602,0.95288,0.9923,0.77722,0.55174,0.80072,0.39997,0.85071,0.0013466,0.0013466,0.0013466
35,191.109,0.60245,0.69494,0.43706,0.86051,0.99086,0.97703,0.9936,0.86536,0.98173,0.96802,0.9923,0.80048,0.53164,0.85578,0.39079,0.84918,0.0013268,0.0013268,0.0013268
36,195.941,0.58877,0.60654,0.41167,0.85898,0.99536,0.96715,0.99428,0.86301,0.98201,0.98358,0.99343,0.79084,0.5551,0.88729,0.37929,0.85599,0.001307,0.001307,0.001307
37,200.753,0.58031,0.65696,0.42617,0.85924,0.99294,0.98649,0.99477,0.86385,0.98134,0.98649,0.9926,0.78694,0.52552,0.86572,0.3556,0.84144,0.0012872,0.0012872,0.0012872
