epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.42511,0.99537,1.22885,2.99557,0.94487,0.00629,0.98649,0.62682,0.38982,0.00629,0.98649,0.64738,0.45823,0.92222,1.14354,3.40039,0.86002,0.0004,0.0004,0.0004
2,11.7138,0.89637,0.93527,1.54909,0.91592,0.00618,0.96847,0.21259,0.14378,0.00621,0.97297,0.18329,0.11944,0.72344,2.23179,3.4287,0.86125,0.000811882,0.000811882,0.000811882
3,16.807,0.84779,0.86917,1.32044,0.91863,0.77752,0.07876,0.18209,0.14736,0.77752,0.07876,0.18394,0.15664,0.7397,1.1609,3.09979,0.86679,0.00121545,0.00121545,0.00121545
4,21.8444,0.84772,0.95825,1.21854,0.90771,0.33467,0.05856,0.26144,0.19144,0.33467,0.05856,0.26096,0.18391,0.8773,2.65053,3.19873,0.95839,0.0016107,0.0016107,0.0016107
5,26.8892,0.83156,0.99247,1.10519,0.91824,0.79419,0.74743,0.74925,0.5449,0.79419,0.74743,0.74502,0.53346,0.8741,1.67453,2.25586,0.93702,0.0019208,0.0019208,0.0019208
6,31.9605,0.84375,0.93337,1.03134,0.9068,0.93463,0.77285,0.86122,0.64417,0.92624,0.77928,0.86417,0.69551,0.89433,1.33452,1.51501,0.9795,0.001901,0.001901,0.001901
7,37.0618,0.81782,0.87726,0.94701,0.92062,0.90855,0.78378,0.89967,0.71321,0.90855,0.78378,0.90047,0.69555,0.75876,1.1439,1.22147,0.92614,0.0018812,0.0018812,0.0018812
8,42.0907,0.76084,0.83457,0.85135,0.89282,0.69096,0.79565,0.80554,0.66577,0.68499,0.79339,0.80185,0.66979,0.68735,1.03041,1.56054,0.89245,0.0018614,0.0018614,0.0018614
9,47.9521,0.76455,0.77702,0.8347,0.89919,0.84121,0.90541,0.90612,0.70699,0.84121,0.90541,0.90132,0.6911,0.73818,1.07402,1.09054,0.8982,0.0018416,0.0018416,0.0018416
10,53.66,0.74717,0.74877,0.7881,0.89749,0.87077,0.91054,0.93174,0.75595,0.87757,0.9009,0.93141,0.73441,0.72425,1.02492,0.83249,0.91232,0.0018218,0.0018218,0.0018218
11,59.7838,0.76646,0.89597,0.74935,0.92952,0.95946,0.9595,0.98593,0.80731,0.95946,0.9595,0.98593,0.77115,0.67507,0.90536,0.75873,0.88284,0.001802,0.001802,0.001802
12,66.0893,0.73591,0.81596,0.69422,0.90185,0.97407,0.93243,0.98577,0.8209,0.97407,0.93243,0.98577,0.7896,0.64192,1.0419,0.6225,0.88396,0.0017822,0.0017822,0.0017822
13,72.3098,0.69963,0.7727,0.65683,0.885,0.95567,0.97107,0.98849,0.7947,0.95567,0.97107,0.98849,0.74631,0.7245,0.94774,0.66816,0.90636,0.0017624,0.0017624,0.0017624
14,78.331,0.69663,0.79691,0.6327,0.87274,0.88871,0.86331,0.94097,0.78436,0.88871,0.86331,0.93742,0.74369,0.65466,0.93838,0.90865,0.89068,0.0017426,0.0017426,0.0017426
15,84.4636,0.68092,0.78392,0.61708,0.88346,0.968,0.95495,0.97928,0.80987,0.9634,0.94144,0.96889,0.76501,0.64472,0.92359,0.61004,0.86428,0.0017228,0.0017228,0.0017228
16,90.3874,0.70471,0.77224,0.61693,0.88448,0.86938,0.89942,0.92555,0.77346,0.86938,0.89942,0.92441,0.73657,0.60816,0.96776,0.94768,0.8578,0.001703,0.001703,0.001703
17,96.2794,0.71482,0.77536,0.59502,0.88957,0.9718,0.95045,0.98243,0.8164,0.9718,0.95045,0.97463,0.76766,0.61653,0.92262,0.61388,0.85308,0.0016832,0.0016832,0.0016832
18,102.145,0.6653,0.71852,0.54639,0.87394,0.98181,0.97272,0.99285,0.83023,0.97727,0.96822,0.99076,0.76662,0.62499,0.89205,0.5719,0.8506,0.0016634,0.0016634,0.0016634
19,107.097,0.66137,0.74082,0.54806,0.88128,0.97743,0.97526,0.98743,0.82726,0.9684,0.96625,0.9703,0.74188,0.59432,0.90535,0.6288,0.84488,0.0016436,0.0016436,0.0016436
20,112.019,0.68356,0.72473,0.54513,0.8664,0.96816,0.95893,0.98562,0.8331,0.96816,0.95893,0.98498,0.77578,0.57266,0.88526,0.53929,0.84103,0.0016238,0.0016238,0.0016238
21,116.918,0.65134,0.67502,0.52761,0.87246,0.98171,0.96711,0.98923,0.84638,0.98171,0.96711,0.9876,0.8097,0.57743,0.92503,0.47761,0.84806,0.001604,0.001604,0.001604
22,121.863,0.65168,0.69549,0.52869,0.87846,0.97731,0.96991,0.99101,0.83601,0.99061,0.95041,0.98238,0.79692,0.58189,0.81663,0.47746,0.84486,0.0015842,0.0015842,0.0015842
23,126.787,0.67791,0.69285,0.54529,0.86818,0.97723,0.96663,0.99125,0.83853,0.97723,0.96663,0.98436,0.7828,0.58226,0.82601,0.48905,0.84678,0.0015644,0.0015644,0.0015644
24,131.695,0.6734,0.68095,0.55065,0.87225,0.9814,0.95086,0.9888,0.83566,0.9814,0.95086,0.98485,0.77432,0.59813,0.87711,0.49618,0.85023,0.0015446,0.0015446,0.0015446
25,136.557,0.64933,0.74574,0.52193,0.87894,0.97419,0.96396,0.98674,0.82637,0.97419,0.96396,0.97829,0.78165,0.60294,0.90448,0.468,0.8494,0.0015248,0.0015248,0.0015248
26,141.446,0.64199,0.70469,0.50315,0.86359,0.973,0.9739,0.99276,0.85482,0.98834,0.95946,0.99028,0.79261,0.60308,0.90771,0.45183,0.85294,0.001505,0.001505,0.001505
27,146.349,0.64287,0.69369,0.50974,0.8699,0.9953,0.95408,0.99283,0.84654,0.9906,0.94957,0.97748,0.79128,0.57926,0.93229,0.44185,0.84843,0.0014852,0.0014852,0.0014852
28,151.243,0.6224,0.71989,0.49434,0.8614,0.98784,0.98198,0.99423,0.83784,0.98784,0.98198,0.98945,0.76634,0.55788,0.86992,0.42162,0.84566,0.0014654,0.0014654,0.0014654
29,156.125,0.66093,0.74827,0.48629,0.86936,0.97784,0.99389,0.99378,0.84986,0.97784,0.99389,0.99378,0.79566,0.59345,0.86437,0.42058,0.85306,0.0014456,0.0014456,0.0014456
30,161.014,0.64041,0.71399,0.47361,0.86127,0.97667,0.97297,0.99355,0.85834,0.97667,0.97297,0.99355,0.79125,0.56058,0.82716,0.42247,0.84108,0.0014258,0.0014258,0.0014258
31,165.891,0.59622,0.64795,0.45609,0.86918,0.96783,0.96396,0.98734,0.86372,0.96783,0.96396,0.98723,0.80548,0.53798,0.8602,0.41804,0.83349,0.001406,0.001406,0.001406
32,170.831,0.63121,0.67089,0.45957,0.87439,0.9818,0.97222,0.99266,0.85373,0.9818,0.97222,0.99167,0.79891,0.53179,0.84235,0.40158,0.83381,0.0013862,0.0013862,0.0013862
33,175.753,0.64321,0.73142,0.46169,0.87458,0.97961,0.98649,0.99284,0.84822,0.95827,0.98198,0.98877,0.79801,0.57871,0.85432,0.39996,0.84888,0.0013664,0.0013664,0.0013664
34,180.658,0.64929,0.69044,0.45927,0.87065,0.98205,0.98578,0.99291,0.85308,0.97756,0.98128,0.99093,0.7975,0.57934,0.86573,0.40982,0.8462,0.0013466,0.0013466,0.0013466
35,185.546,0.61517,0.71736,0.45869,0.8569,0.98174,0.97748,0.99349,0.85595,0.98174,0.97748,0.99349,0.79269,0.55062,0.86994,0.3886,0.841,0.0013268,0.0013268,0.0013268
36,190.465,0.61386,0.62129,0.43287,0.85879,0.97718,0.9643,0.99304,0.85497,0.97261,0.95979,0.99251,0.79666,0.56609,0.89526,0.39578,0.83457,0.001307,0.001307,0.001307
37,195.324,0.5951,0.67328,0.4397,0.85334,0.98641,0.98122,0.9941,0.86951,0.98636,0.97735,0.99355,0.81713,0.5512,0.87009,0.38109,0.83822,0.0012872,0.0012872,0.0012872
38,200.225,0.56453,0.61295,0.42453,0.86509,0.97306,0.97615,0.99165,0.86105,0.96627,0.96396,0.98439,0.8014,0.5488,0.83841,0.39007,0.84142,0.0012674,0.0012674,0.0012674
39,205.089,0.6006,0.67576,0.43283,0.86305,0.97601,0.98649,0.99341,0.87363,0.9715,0.98198,0.99277,0.80575,0.52764,0.84178,0.38216,0.83346,0.0012476,0.0012476,0.0012476
40,209.99,0.57291,0.65011,0.41673,0.85164,0.99089,0.9801,0.99427,0.87174,0.99082,0.97276,0.99405,0.80722,0.5413,0.86934,0.3674,0.83264,0.0012278,0.0012278,0.0012278
41,214.856,0.57021,0.63567,0.40729,0.85398,0.99412,0.97297,0.99415,0.86522,0.99412,0.97297,0.99397,0.79602,0.56774,0.88622,0.35474,0.84594,0.001208,0.001208,0.001208
42,219.75,0.59518,0.70406,0.41762,0.85618,0.98623,0.98649,0.9936,0.86564,0.98474,0.97748,0.98319,0.80761,0.54268,0.91049,0.3691,0.84088,0.0011882,0.0011882,0.0011882
43,224.642,0.59777,0.67529,0.42742,0.87232,0.98317,0.95946,0.99296,0.87527,0.98778,0.96396,0.99332,0.80137,0.50659,0.8206,0.36043,0.83033,0.0011684,0.0011684,0.0011684
44,229.543,0.56062,0.62918,0.39523,0.84665,0.98623,0.9679,0.99231,0.86588,0.98611,0.95941,0.979,0.80265,0.51685,0.83191,0.37682,0.82868,0.0011486,0.0011486,0.0011486
45,234.397,0.5529,0.63386,0.40521,0.84595,0.98367,0.97748,0.99293,0.8642,0.97601,0.96847,0.98781,0.79105,0.52136,0.87334,0.37183,0.83445,0.0011288,0.0011288,0.0011288
46,239.262,0.55538,0.64131,0.38573,0.84746,0.9925,0.97297,0.99388,0.8774,0.98779,0.96847,0.98602,0.79582,0.51053,0.84569,0.35639,0.8291,0.001109,0.001109,0.001109
47,244.128,0.56555,0.66217,0.39244,0.84968,0.98962,0.97297,0.99389,0.88247,0.98504,0.96847,0.99349,0.8073,0.50817,0.83607,0.35478,0.82992,0.0010892,0.0010892,0.0010892
48,249.041,0.59406,0.70759,0.4287,0.85134,0.9807,0.98198,0.99253,0.87879,0.9762,0.97748,0.99095,0.80638,0.50099,0.86288,0.34318,0.82541,0.0010694,0.0010694,0.0010694
49,253.895,0.58493,0.66239,0.43388,0.85262,0.96383,0.98198,0.99011,0.87649,0.95054,0.96847,0.98216,0.814,0.51661,0.84194,0.35271,0.83072,0.0010496,0.0010496,0.0010496
50,258.745,0.54613,0.62832,0.39796,0.83675,0.97671,0.97748,0.99283,0.87441,0.96441,0.9764,0.99105,0.82313,0.52962,0.86485,0.35313,0.84027,0.0010298,0.0010298,0.0010298
51,263.632,0.52621,0.60277,0.37991,0.8383,0.97807,0.97748,0.99164,0.87797,0.97882,0.96396,0.98276,0.82024,0.5164,0.82555,0.36227,0.82835,0.00101,0.00101,0.00101
52,268.524,0.51452,0.59138,0.37494,0.83861,0.97718,0.98198,0.99055,0.87562,0.96822,0.97297,0.9881,0.81329,0.51363,0.82904,0.35515,0.82716,0.0009902,0.0009902,0.0009902
53,273.391,0.53705,0.6164,0.37203,0.83751,0.97755,0.98069,0.99307,0.87559,0.97261,0.97297,0.98989,0.80828,0.49733,0.88596,0.34853,0.82604,0.0009704,0.0009704,0.0009704
54,278.254,0.54199,0.6136,0.38688,0.84608,0.98188,0.97613,0.99299,0.87255,0.9816,0.96136,0.98973,0.802,0.51262,0.86438,0.35427,0.83966,0.0009506,0.0009506,0.0009506
55,283.129,0.58637,0.64019,0.39357,0.85084,0.97752,0.9793,0.99378,0.87896,0.97302,0.97479,0.99318,0.79483,0.51309,0.87063,0.354,0.83303,0.0009308,0.0009308,0.0009308
56,288.02,0.56882,0.61166,0.38879,0.84935,0.98463,0.97748,0.99279,0.86395,0.9801,0.97297,0.98755,0.78664,0.51453,0.83997,0.35069,0.82964,0.000911,0.000911,0.000911
57,292.879,0.52023,0.6153,0.36943,0.84477,0.99098,0.99005,0.99317,0.89046,0.98197,0.98112,0.99229,0.82668,0.50094,0.84412,0.33259,0.82732,0.0008912,0.0008912,0.0008912
58,297.741,0.55863,0.64255,0.38465,0.84829,0.98886,0.98649,0.99446,0.87359,0.98412,0.98198,0.99361,0.81893,0.51069,0.85834,0.34022,0.82598,0.0008714,0.0008714,0.0008714
59,302.636,0.54587,0.66682,0.37919,0.85006,0.97906,0.98649,0.99418,0.88559,0.98178,0.95946,0.99321,0.82311,0.49683,0.87979,0.33001,0.82724,0.0008516,0.0008516,0.0008516
60,307.513,0.57126,0.64631,0.38654,0.84605,0.98548,0.9955,0.99365,0.89773,0.9829,0.99099,0.99365,0.83271,0.48403,0.83214,0.31995,0.82127,0.0008318,0.0008318,0.0008318
